
1747591394148: GET, /
1747591403814: GET, /api/users
1747591404300: GET, /favicon.ico
1747593878490: GET, /api/users
1747593892080: GET, /users
1747593892485: GET, /favicon.ico
1747593896192: GET, /.well-known/appspecific/com.chrome.devtools.json
1747593908086: GET, /users
1747593908143: GET, /.well-known/appspecific/com.chrome.devtools.json
1747594390109: GET, /users
1747594390866: GET, /favicon.ico
1747594393999: GET, /.well-known/appspecific/com.chrome.devtools.json
1747594399937: GET, /users
1747594399997: GET, /.well-known/appspecific/com.chrome.devtools.json
